"Zeitstempel","Teilnehmer Nummer","Welche Geschlechtsidentität haben Sie","Wie alt sind Sie","Wie sehr interessieren Sie sich für Armbanduhren?","Tragen Sie im Alltag eine Uhr? Wenn ja welcher Art?","Welche Art von Uhrband bevorzugen Sie?","Haben Sie bewusst auf bestimmte Merkmale geachtet?","Falls sie oben Ja gewählt haben, welche Merkmale haben Sie bewusst betrachtet (bitte mit Komma trennen)","Welche Marke hatte die erste Uhr?","Wie schätzen sie den Preis der ersten Uhr ein?","Welche Marke hatte die zweite Uhr?","Wie schätzen sie den Preis der zweiten Uhr ein?","Welche Marke hatte die dritte Uhr?","Wie schätzen sie den Preis der dritten Uhr ein?","Welche Marke hatte die vierte Uhr?","Wie schätzen sie den Preis der vierten Uhr ein?",
"2023/12/04 3:54:22 PM MEZ","1","Männlich","24","6","Analoguhr","Lederband","Nein",,"Omega","800","Rolex","30000","Breitling","10000","Zeppelin","750","Nein:D"
"2023/12/04 4:03:02 PM MEZ","2","Männlich","23","4","Nein","Metallband","Ja","Hersteller","Omega","150000","Casio","10000","Zenit","50000","Rolex","70000",
"2023/12/04 4:14:12 PM MEZ","3","Männlich","26","3","Smartwatch","Kunststoffband","Ja","Marke","Omega","600","Rolex","15000","Breitling","20000","Zeppelin","60000",
"2023/12/04 4:23:16 PM MEZ","4","Männlich","22","4","Analoguhr","Kunststoffband","Nein",,"Breitling","600","Rolex","1000","Patek Philippe","600","Zeppelin","400",
"2023/12/04 4:29:15 PM MEZ","5","Männlich","22","7","Analoguhr","Metallband","Ja","Ziffernblatt, Uhrwerk, Gehäuse","Omega","4200","Rolex","8000","Zenit","30000","Zeppelin","49000",
"2023/12/04 4:45:04 PM MEZ","6","Männlich","21","5","Analoguhr","Metallband","Ja","Marke, Subdials","Omega","100","Rolex","400","Patek Philippe","200","Zeppelin","100",
"2023/12/04 4:51:28 PM MEZ","7","Männlich","22","3","Nein","Kunststoffband","Ja","Zeiger","Omega","2000","Rolex","3000","Patek Philippe","500","Zeppelin","700",
"2023/12/04 4:57:29 PM MEZ","8","Männlich","26","1","Nein","Lederband","Nein",,"Omega","300","Rolex","1000","Zenit","600","Zeppelin","2000",
"2023/12/04 5:04:34 PM MEZ","9","Männlich","25","1","Nein","Lederband","Nein",,"Omega","2750","Junghans","950","Zenit","1800","Breitling","550",
"2023/12/04 5:11:10 PM MEZ","10","Männlich","28","7","Nein","Metallband","Nein",,"Omega","8000","Rolex","25000","Audemars Piguet","10000","Zeppelin","500",
"2023/12/04 5:16:36 PM MEZ","11","Männlich","23","6","Nein","Metallband","Nein",,"Omega","8000","Rolex","17000","Zenit","1000","Zeppelin","300",
"2023/12/04 5:24:38 PM MEZ","12","Männlich","21","3","Smartwatch","Metallband","Nein",,"Omega","1000","Rolex","20000","Zenit","500","Zeppelin","200",
"2023/12/04 5:33:49 PM MEZ","13","Männlich","22","2","Nein","Metallband","Ja","Marke, Herstellungsland","Omega","350","Rolex","1200","Zenit","425","Zeppelin","375",
"2023/12/04 5:40:49 PM MEZ","14","Männlich","24","3","Nein","Metallband","Nein",,"Omega","200","Rolex","600","Breitling","100","Zeppelin","400",
"2023/12/04 5:59:03 PM MEZ","15","Männlich","19","4","Nein","Lederband","Ja","das aussehen","Chopard","200","Rolex","500","Breitling","300","Breitling","250",
"2023/12/04 6:04:38 PM MEZ","16","Weiblich","21","3","Smartwatch","Kunststoffband","Nein",,"Omega","3500","Rolex","7500","Patek Philippe","2500","Zeppelin","5000",
"2023/12/04 6:21:32 PM MEZ","17","Männlich","26","3","Nein","Lederband","Ja","Funktionen (Umfang)","Omega","500","Rolex","3500","Patek Philippe","800","Zeppelin","700",
"2023/12/04 6:32:31 PM MEZ","18","Männlich","25","9","Smartwatch","Lederband","Ja","Marke, Units, Band, Material","Omega","500 ","Rolex","1000","Breitling","500","Zeppelin","500",
"2023/12/04 6:37:48 PM MEZ","19","Männlich","24","5","Nein","Metallband","Nein",,"Omega","500","Rolex","3000","Zenit","300","Zeppelin","400",
